0.0,-39.7377052307,-2113837.0,0.0
0.0012796021,-39.6737251282,-2116109.0,0.0
0.0025592041,-39.6097450256,-2126341.0,0.0
0.0038388062,-39.5457649231,-2137042.0,0.0
0.0051184082,-39.4817848206,-2147661.0,0.0
0.0063980101,-39.417804718,-2160418.0,0.0
0.0076776124,-39.3538246155,-2172185.0,0.0
0.0089572147,-39.2898445129,-2184980.0,0.0
0.0102368165,-39.2258644104,-2197789.0,0.0
0.0115164183,-39.1618843079,-2209079.0,0.0
0.0127960201,-39.0979042053,-2221870.0,0.0
0.0140756229,-39.0339241028,-2235930.0,0.0
0.0153552247,-38.9699440002,-2250375.0,0.0
0.0166348275,-38.9059638977,-2264778.0,0.0
0.0179144293,-38.8419837952,-2279759.0,0.0
0.0191940311,-38.7780036926,-2294287.0,0.0
0.020473633,-38.7140235901,-2308647.0,0.0
0.0217532348,-38.6500434875,-2322897.0,0.0
0.0230328366,-38.586063385,-2336585.0,0.0
0.0243124384,-38.5220832825,-2350310.0,0.0
0.0255920403,-38.4581031799,-2363770.0,0.0
0.026871644,-38.3941230774,-2377126.0,0.0
0.0281512458,-38.3301429749,-2390206.0,0.0
0.0294308476,-38.2661628723,-2403143.0,0.0
0.0307104494,-38.2021827698,-2415960.0,0.0
0.0319900513,-38.1382026672,-2428619.0,0.0
0.033269655,-38.0742225647,-2441083.0,0.0
0.0345492549,-38.0102424622,-2453616.0,0.0
0.0358288586,-37.9462623596,-2466089.0,0.0
0.0371084586,-37.8822822571,-2478532.0,0.0
0.0383880623,-37.8183021545,-2490793.0,0.0
0.0396676622,-37.754322052,-2502781.0,0.0
0.0409472659,-37.6903419495,-2514684.0,0.0
0.0422268659,-37.6263618469,-2526137.0,0.0
0.0435064696,-37.5623817444,-2535134.0,0.0
0.0447860733,-37.4984016418,-2546556.0,0.0
0.0460656732,-37.4344215393,-2558063.0,0.0
0.0473452769,-37.3704414368,-2568847.0,0.0
0.0486248769,-37.3064613342,-2580109.0,0.0
0.0499044806,-37.2424812317,-2590634.0,0.0
0.0511840805,-37.1785011292,-2601059.0,0.0
0.0524636842,-37.1145210266,-2611365.0,0.0
0.0537432879,-37.0505409241,-2621213.0,0.0
0.0550228879,-36.9865608215,-2631154.0,0.0
0.0563024916,-36.922580719,-2641066.0,0.0
0.0575820915,-36.8586006165,-2650994.0,0.0
0.0588616952,-36.7946205139,-2661055.0,0.0
0.0601412952,-36.7306404114,-2670972.0,0.0
0.0614208989,-36.6666603088,-2681117.0,0.0
0.0627005026,-36.6026802063,-2691435.0,0.0
0.0639801025,-36.5387001038,-2702020.0,0.0
0.0652597025,-36.4747200012,-2713064.0,0.0
0.0665393099,-36.4107398987,-2724258.0,0.0
0.0678189099,-36.3467597961,-2736054.0,0.0
0.0690985098,-36.2827796936,-2748393.0,0.0
0.0703781098,-36.2187995911,-2761160.0,0.0
0.0716577172,-36.1548194885,-2774448.0,0.0
0.0729373172,-36.090839386,-2788166.0,0.0
0.0742169172,-36.0268592834,-2800563.0,0.0
0.0754965246,-35.9628791809,-2813390.0,0.0
0.0767761245,-35.8988990784,-2828245.0,0.0
0.0780557245,-35.8349189758,-2843791.0,0.0
0.0793353245,-35.7709388733,-2858928.0,0.0
0.0806149319,-35.7069587708,-2874819.0,0.0
0.0818945318,-35.6429786682,-2890014.0,0.0
0.0831741318,-35.5789985657,-2905123.0,0.0
0.0844537318,-35.5150184631,-2920201.0,0.0
0.0857333392,-35.4510383606,-2934751.0,0.0
0.0870129392,-35.3870582581,-2949035.0,0.0
0.0882925391,-35.3230781555,-2963104.0,0.0
0.0895721465,-35.259098053,-2976987.0,0.0
0.0908517465,-35.1951179504,-2990572.0,0.0
0.0921313465,-35.1311378479,-3004028.0,0.0
0.0934109464,-35.0671577454,-3017184.0,0.0
0.0946905538,-35.0031776428,-3030310.0,0.0
0.0959701538,-34.9391975403,-3043186.0,0.0
0.0972497538,-34.8752174377,-3055999.0,0.0
0.0985293612,-34.8112373352,-3068564.0,0.0
0.0998089612,-34.7472572327,-3081268.0,0.0
