    0.0000000000,    1.6926414967, 1557448.000000
    0.0016207838,    1.7736806870, 1557446.000000
    0.0032415676,    1.8547198772, 1557670.000000
    0.0048623513,    1.9357590675, 1557957.000000
    0.0064831353,    2.0167982578, 1558337.000000
    0.0081039192,    2.0978374481, 1558775.000000
    0.0097247027,    2.1788766384, 1559238.000000
    0.0113454871,    2.2599158287, 1559775.000000
    0.0129662706,    2.3409550190, 1560326.000000
    0.0145870540,    2.4219942093, 1560937.000000
    0.0162078384,    2.5030333996, 1561608.000000
    0.0178286210,    2.5840725899, 1562300.000000
    0.0194494054,    2.6651117802, 1563083.000000
    0.0210701898,    2.7461509705, 1563896.000000
    0.0226909742,    2.8271901608, 1564786.000000
    0.0243117567,    2.9082293510, 1565741.000000
    0.0259325411,    2.9892685413, 1566754.000000
    0.0275533255,    3.0703077316, 1567852.000000
    0.0291741081,    3.1513469219, 1568960.000000
    0.0307948925,    3.2323861122, 1570016.000000
    0.0324156769,    3.3134253025, 1571152.000000
    0.0340364613,    3.3944644928, 1572331.000000
    0.0356572419,    3.4755036831, 1573398.000000
    0.0372780263,    3.5565428734, 1574370.000000
    0.0388988107,    3.6375820637, 1575560.000000
    0.0405195951,    3.7186212540, 1576716.000000
    0.0421403795,    3.7996604443, 1578004.000000
    0.0437611639,    3.8806996346, 1579397.000000
    0.0453819484,    3.9617388248, 1580897.000000
    0.0470027290,    4.0427780151, 1582504.000000
    0.0486235172,    4.1238174438, 1584213.000000
    0.0502443090,    4.2048568726, 1586065.000000
    0.0518650971,    4.2858963013, 1588011.000000
    0.0534858853,    4.3669357300, 1590102.000000
    0.0551066734,    4.4479751587, 1592280.000000
    0.0567274615,    4.5290145874, 1594545.000000
    0.0583482496,    4.6100540161, 1596896.000000
    0.0599690378,    4.6910934448, 1599238.000000
    0.0615898259,    4.7721328735, 1601489.000000
    0.0632106140,    4.8531723022, 1603663.000000
    0.0648314059,    4.9342117310, 1605964.000000
    0.0664521903,    5.0152511597, 1607936.000000
    0.0680729821,    5.0962905884, 1609575.000000
    0.0696937740,    5.1773300171, 1611551.000000
    0.0713145584,    5.2583694458, 1613452.000000
    0.0729353502,    5.3394088745, 1615506.000000
    0.0745561346,    5.4204483032, 1617618.000000
    0.0761769265,    5.5014877319, 1619839.000000
    0.0777977109,    5.5825271606, 1622170.000000
    0.0794185027,    5.6635665894, 1624685.000000
    0.0810392946,    5.7446060181, 1627390.000000
    0.0826600865,    5.8256454468, 1630273.000000
    0.0842808709,    5.9066848755, 1633335.000000
    0.0859016627,    5.9877243042, 1636586.000000
    0.0875224471,    6.0687637329, 1639956.000000
    0.0891432390,    6.1498031616, 1643435.000000
    0.0907640234,    6.2308425903, 1646925.000000
    0.0923848152,    6.3118820190, 1650384.000000
    0.0940056071,    6.3929214478, 1653548.000000
    0.0956263915,    6.4739608765, 1656951.000000
    0.0972471833,    6.5550003052, 1660251.000000
    0.0988679677,    6.6360397339, 1662886.000000
    0.1004887596,    6.7170791626, 1665655.000000
    0.1021095440,    6.7981185913, 1668721.000000
    0.1037303358,    6.8791580200, 1671677.000000
    0.1053511202,    6.9601974487, 1675006.000000
    0.1069719121,    7.0412368774, 1678310.000000
    0.1085927039,    7.1222763062, 1681859.000000
    0.1102134883,    7.2033157349, 1685537.000000
    0.1118342802,    7.2843551636, 1689348.000000
    0.1134550646,    7.3653945923, 1693348.000000
    0.1150758564,    7.4464340210, 1697448.000000
    0.1166966408,    7.5274734497, 1701676.000000
    0.1183174327,    7.6085128784, 1705876.000000
    0.1199382246,    7.6895523071, 1710158.000000
    0.1215590090,    7.7705917358, 1714388.000000
    0.1231798008,    7.8516311646, 1718520.000000
    0.1248005852,    7.9326705933, 1722204.000000
    0.1264213771,    8.0137100220, 1726075.000000
    0.1280421615,    8.0947494507, 1729866.000000
    0.1296629459,    8.1757888794, 1732730.000000
    0.1312837452,    8.2568283081, 1735659.000000
    0.1329045296,    8.3378677368, 1738924.000000
    0.1345253140,    8.4189071655, 1742005.000000
    0.1361461133,    8.4999465942, 1745362.000000
    0.1377668977,    8.5809860229, 1748695.000000
    0.1393876821,    8.6620254517, 1752213.000000
    0.1410084665,    8.7430648804, 1755844.000000
    0.1426292658,    8.8241043091, 1759739.000000
    0.1442500502,    8.9051437378, 1762923.000000
    0.1458708346,    8.9861831665, 1767030.000000
    0.1474916339,    9.0672225952, 1771996.000000
    0.1491124183,    9.1482620239, 1776737.000000
    0.1507332027,    9.2293014526, 1781501.000000
    0.1523539871,    9.3103408813, 1787437.000000
    0.1539747864,    9.3913803101, 1793459.000000
    0.1555955708,    9.4724197388, 1798685.000000
    0.1572163552,    9.5534591675, 1804345.000000
    0.1588371396,    9.6344985962, 1810945.000000
    0.1604579389,    9.7155380249, 1817284.000000
    0.1620787233,    9.7965774536, 1823081.000000
    0.1636995077,    9.8776168823, 1828777.000000
    0.1653203070,    9.9586563110, 1834888.000000
    0.1669410914,   10.0396957397, 1839589.000000
    0.1685618758,   10.1207351685, 1845922.000000
    0.1701826602,   10.2017745972, 1852512.000000
    0.1718034595,   10.2828140259, 1859562.000000
    0.1734242439,   10.3638534546, 1866567.000000
    0.1750450283,   10.4448928833, 1873583.000000
    0.1766658276,   10.5259323120, 1881254.000000
    0.1782866120,   10.6069717407, 1889184.000000
    0.1799073964,   10.6880111694, 1897429.000000
    0.1815281808,   10.7690505981, 1906098.000000
    0.1831489801,   10.8500900269, 1914310.000000
    0.1847697645,   10.9311294556, 1923671.000000
    0.1863905489,   11.0121688843, 1932221.000000
